S4; 
2,008500000000000000e+03;6,633206396251522108e+01;-1,341000000000001080e+00
2,009500000000000000e+03;7,087924358701869210e+01;-2,951999999999998181e+00
2,010500000000000000e+03;7,478631595625932960e+01;-2,083500000000000796e+00
2,011500000000000000e+03;6,358662053138792203e+01;-2,322000000000002728e+00
2,012500000000000000e+03;7,339320546306740312e+01;-1,363499999999994827e+00
2,013500000000000000e+03;6,233209518335164745e+01;-1,881000000000000227e+00
2,014500000000000000e+03;6,892414771994285161e+01;-1,079999999999998295e+00
2,015500000000000000e+03;nan;-1,990000000000001990e+00
2,016500000000000000e+03;6,790329866520993107e+01;nan
2,017500000000000000e+03;6,066310284825260624e+01;nan
2,018500000000000000e+03;4,296419549907325575e+01;nan
S7;
1,990500000000000000e+03;nan;-1,750000000000000000e+00
1,991500000000000000e+03;nan;-2,999999999999998224e-01
1,992500000000000000e+03;nan;-1,600000000000000089e+00
1,993500000000000000e+03;nan;-1,060000000000000053e+00
1,994500000000000000e+03;nan;-1,780000000000000249e+00
1,995500000000000000e+03;nan;-4,699999999999997513e-01
1,996500000000000000e+03;nan;-1,639999999999999680e+00
1,997500000000000000e+03;nan;-1,570000000000000284e+00
1,998500000000000000e+03;nan;-1,300000000000000711e+00
1,999500000000000000e+03;nan;-1,049999999999998934e+00
2,000500000000000000e+03;nan;-9,800000000000004263e-01
2,001500000000000000e+03;nan;-1,550000000000000711e+00
2,002500000000000000e+03;nan;-1,772999999999999687e+00
2,003500000000000000e+03;nan;-1,727999999999997982e+00
2,004500000000000000e+03;nan;-1,566000000000002501e+00
2,005500000000000000e+03;nan;-1,129999999999999005e+00
2,006500000000000000e+03;nan;-2,300000000000000711e+00
2,007500000000000000e+03;nan;-1,359999999999999432e+00
2,008500000000000000e+03;nan;-1,466999999999998749e+00
2,009500000000000000e+03;9,785999456265605545e+01;-2,985000000000002984e+00
2,010500000000000000e+03;1,009695543474750110e+02;-1,591199999999997061e+00
2,011500000000000000e+03;9,588957390334833519e+01;-2,565000000000001279e+00
2,012500000000000000e+03;9,812441429163958162e+01;-1,102499999999999147e+00
2,013500000000000000e+03;9,578116240957801608e+01;-1,692000000000000171e+00
2,014500000000000000e+03;1,034135427599434820e+02;-6,300000000000025580e-01
2,015500000000000000e+03;9,719897880926151856e+01;-2,750000000000000000e+00
2,016500000000000000e+03;1,078421568480044215e+02;nan
2,017500000000000000e+03;nan;nan
2,018500000000000000e+03;1,094486899178356083e+02;nan
S8;
1,990500000000000000e+03;nan;-1,469999999999999973e+00
1,991500000000000000e+03;nan;8,000000000000007105e-02
1,992500000000000000e+03;nan;-1,400000000000001243e-01
1,993500000000000000e+03;nan;-4,499999999999999556e-01
1,994500000000000000e+03;nan;-1,089999999999999858e+00
1,995500000000000000e+03;nan;-3,000000000000024869e-02
1,996500000000000000e+03;nan;-8,799999999999998934e-01
1,997500000000000000e+03;nan;-9,700000000000001954e-01
1,998500000000000000e+03;nan;-8,599999999999994316e-01
1,999500000000000000e+03;nan;-5,100000000000006750e-01
2,000500000000000000e+03;nan;-4,899999999999993250e-01
2,001500000000000000e+03;nan;-9,300000000000006040e-01
2,002500000000000000e+03;nan;-1,070999999999999730e+00
2,003500000000000000e+03;nan;-6,570000000000000284e-01
2,004500000000000000e+03;nan;-1,664999999999992042e-01
2,005500000000000000e+03;nan;-2,300000000000004263e-01
2,006500000000000000e+03;nan;-1,160000000000000142e+00
2,007500000000000000e+03;nan;-4,399999999999995026e-01
2,008500000000000000e+03;nan;-2,160000000000010800e-01
2,009500000000000000e+03;7,708813842589560750e+01;-1,929999999999999716e+00
2,010500000000000000e+03;7,939344780941304691e+01;-1,884999999999999787e+00
2,011500000000000000e+03;7,534947798099891259e+01;-1,943999999999999062e+00
2,012500000000000000e+03;7,927120656699560186e+01;-9,224999999999994316e-01
2,013500000000000000e+03;7,590774694923845800e+01;-1,017000000000003013e+00
2,014500000000000000e+03;7,968404177884565343e+01;-1,709999999999993747e-01
2,015500000000000000e+03;7,129520574113186626e+01;-1,789999999999999147e+00
2,016500000000000000e+03;7,921750278158791048e+01;nan
2,017500000000000000e+03;7,471860325893803179e+01;nan
2,018500000000000000e+03;7,840598416038409368e+01;nan
S9;
1,990500000000000000e+03;nan;-2,600000000000000089e-01
1,991500000000000000e+03;nan;4,600000000000000200e-01
1,992500000000000000e+03;nan;2,299999999999999822e-01
1,993500000000000000e+03;nan;1,000000000000000333e-01
1,994500000000000000e+03;nan;-5,000000000000004441e-02
1,995500000000000000e+03;nan;4,000000000000000222e-01
1,996500000000000000e+03;nan;-2,000000000000001776e-02
1,997500000000000000e+03;nan;-1,000000000000000888e-02
1,998500000000000000e+03;nan;-1,699999999999999289e-01
1,999500000000000000e+03;nan;-6,000000000000005329e-02
2,000500000000000000e+03;nan;1,600000000000000311e-01
2,001500000000000000e+03;nan;1,699999999999999289e-01
2,002500000000000000e+03;nan;-5,309999999999999165e-01
2,003500000000000000e+03;nan;9,000000000000007994e-03
2,004500000000000000e+03;nan;8,000000000000001554e-02
2,005500000000000000e+03;nan;7,999999999999996003e-02
2,006500000000000000e+03;nan;-6,799999999999999378e-01
2,007500000000000000e+03;1,023519956782857179e+02;2,000000000000000389e-02
2,008500000000000000e+03;9,694712400419237497e+01;2,339999999999999858e-01
2,009500000000000000e+03;1,009032782043318690e+02;-1,010000000000000009e+00
2,010500000000000000e+03;1,038800227954109801e+02;-8,351100000000001300e-01
2,011500000000000000e+03;1,003162206020681282e+02;-1,034999999999999698e+00
2,012500000000000000e+03;1,085601813286641288e+02;0,000000000000000000e+00
2,013500000000000000e+03;9,873218964698902766e+01;-3,500000000000000888e-01
2,014500000000000000e+03;nan;8,999999999999896971e-03
2,015500000000000000e+03;1,025551084401451192e+02;-9,700000000000001954e-01
2,016500000000000000e+03;1,121594891636280806e+02;nan
2,017500000000000000e+03;1,018097448562956231e+02;nan
2,018500000000000000e+03;1,011190170087152040e+02;nan
