2006.67003425;-69.3090264818;-1.39492981417;69.3230624038;66.9998108882;-47.0127875361;1850.54166667;66.9998106819;-47.0128137632;1850.42916667;
2006.6864726;-47.4465958584;1.84111955522;47.4823038591;66.9998106819;-47.0128137632;1850.42916667;66.9998109542;-47.0128317174;1849.50486111;
2006.70291096;-54.634972905;6.45331187545;55.0147752744;66.9998109542;-47.0128317174;1849.50486111;66.9998119083;-47.0128523917;1850.15208333;
2006.71934932;-46.7639086984;5.42472724749;47.077498048;66.9998119083;-47.0128523917;1850.15208333;66.9998127104;-47.0128700875;1850.25694444;
2006.73578767;-53.5155127186;14.808800805;55.5266664119;66.9998127104;-47.0128700875;1850.25694444;66.9998149;-47.0128903382;1850.07222222;
2006.75222603;-49.7075219725;-20.599873239;53.8069932082;66.9998149;-47.0128903382;1850.07222222;66.9998118542;-47.0129091479;1848.48263889;
2006.76866438;-58.197044005;15.7340573945;60.2864536444;66.9998118542;-47.0129091479;1848.48263889;66.9998141806;-47.0129311701;1848.41736111;
2006.78510274;-38.522137796;3.93586263459;38.722682178;66.9998141806;-47.0129311701;1848.41736111;66.9998147625;-47.0129457472;1848.81458333;
2006.8015411;-60.8305116686;6.16681124387;61.1422988674;66.9998147625;-47.0129457472;1848.81458333;66.9998156743;-47.012968766;1848.09236111;
2006.81797945;-55.3433394341;8.90030999301;56.0544444062;66.9998156743;-47.012968766;1848.09236111;66.9998169903;-47.0129897083;1847.20208333;
2006.83441781;-40.8454633921;22.1779758385;46.4781076638;66.9998169903;-47.0129897083;1847.20208333;66.9998202694;-47.0130051646;1847.94236111;
2006.85085616;-60.3808803917;-17.918038557;62.9833852901;66.9998202694;-47.0130051646;1847.94236111;66.9998176201;-47.0130280132;1847.91319444;
2006.86729452;-53.6054254478;-9.10226954587;54.3727224657;66.9998176201;-47.0130280132;1847.91319444;66.9998162743;-47.0130482979;1846.82847222;
2006.88373288;-47.4594311944;5.54214552952;47.7819315889;66.9998162743;-47.0130482979;1846.82847222;66.9998170937;-47.0130662569;1846.63194444;
2006.90017123;-49.1753170577;11.943793434;50.6049998451;66.9998170937;-47.0130662569;1846.63194444;66.9998188597;-47.0130848653;1847.21944444;
2006.91660959;-52.1574707041;-8.17701305233;52.7945574155;66.9998188597;-47.0130848653;1847.21944444;66.9998176507;-47.0131046021;1846.8875;
2006.93304795;-40.9831003225;-8.80167876676;41.9175865379;66.9998176507;-47.0131046021;1846.8875;66.9998163493;-47.0131201104;1846.91527778;
2006.9494863;-64.7504390559;22.6382557267;68.5938042412;66.9998163493;-47.0131201104;1846.91527778;66.9998196965;-47.0131446125;1847.49097222;
2006.96592466;-55.2846047228;-2.58790017167;55.345142033;66.9998196965;-47.0131446125;1847.49097222;66.9998193139;-47.0131655326;1846.45069444;
2006.98236301;-58.3126420928;12.3664993072;59.6095171341;66.9998193139;-47.0131655326;1846.45069444;66.9998211424;-47.0131875986;1847.62777778;
2006.99880137;-15.0777853981;1.41371687004;15.1439165311;66.9998211424;-47.0131875986;1847.62777778;66.9998213514;-47.0131933042;1847.70694444;
2007.01523973;-54.4954763808;-10.3469039708;55.4690487367;66.9998213514;-47.0131933042;1847.70694444;66.9998198215;-47.0132139257;1846.74097222;
2007.03167808;-77.9857017685;34.6478033753;85.3360413838;66.9998198215;-47.0132139257;1846.74097222;66.9998249444;-47.0132434361;1846.56215278;
2007.04811644;-24.844574862;-10.3234204874;26.9040129094;66.9998249444;-47.0132434361;1846.56215278;66.9998234181;-47.0132528375;1847.87430556;
2007.06455479;-70.378896801;19.9799046238;73.1600007087;66.9998234181;-47.0132528375;1847.87430556;66.9998263722;-47.0132794694;1848.88055556;
2007.08099315;-46.4904400897;-9.10226964223;47.3731182462;66.9998263722;-47.0132794694;1848.88055556;66.9998250264;-47.0132970618;1847.02013889;
2007.09743151;-63.0363641812;31.0360151956;70.2624896257;66.9998250264;-47.0132970618;1847.02013889;66.9998296153;-47.0133209153;1848.25972222;
2007.11386986;-32.064140084;-11.4318493818;34.0410966277;66.9998296153;-47.0133209153;1848.25972222;66.999827925;-47.0133330486;1847.80277778;
2007.13030822;-54.3284608987;5.9930318905;54.6580103449;66.999827925;-47.0133330486;1847.80277778;66.9998288111;-47.0133536069;1848.83680556;
2007.14674658;-67.1618231222;-6.90419823626;67.5157643694;66.9998288111;-47.0133536069;1848.83680556;66.9998277903;-47.0133790215;1847.46180556;
2007.16318493;-45.088365183;12.0236377966;46.6639961934;66.9998277903;-47.0133790215;1847.46180556;66.9998295681;-47.0133960833;1847.68680556;
2007.17962329;-44.7305031893;-1.62976647449;44.7601838058;66.9998295681;-47.0133960833;1847.68680556;66.9998293271;-47.0134130097;1847.24166667;
2007.19606164;-46.3894999166;-4.47598707816;46.6049371079;66.9998293271;-47.0134130097;1847.24166667;66.9998286653;-47.0134305639;1847.36180556;
2007.2125;-49.6249110466;10.6099210224;50.7464503239;66.9998286653;-47.0134305639;1847.36180556;66.999830234;-47.0134493424;1847.88055556;
2007.22893836;-61.9609394402;2.20746483769;62.0002493328;66.999830234;-47.0134493424;1847.88055556;66.9998305604;-47.0134727889;1848.03541667;
2007.24537671;-48.6265731799;5.05838206117;48.8889644838;66.9998305604;-47.0134727889;1848.03541667;66.9998313083;-47.0134911896;1848.30972222;
2007.26181507;-69.0740661795;1.00040414026;69.0813102583;66.9998313083;-47.0134911896;1848.30972222;66.9998314562;-47.0135173278;1848.04583333;
2007.27825342;-26.0686283962;3.95934640635;26.367590152;66.9998314562;-47.0135173278;1848.04583333;66.9998320417;-47.0135271924;1847.98333333;
