2008.26656421;-65.7536767153;-10.0879661364;66.5230265573;67.0047319917;-48.869964674;1265.59739583;67.004731;-48.8699812198;1263.703125;
2008.27749317;-79.4765103212;13.4364925228;80.6043114489;67.004731;-48.8699812198;1263.703125;67.0047323208;-48.8700012187;1264.54791667;
2008.28842213;-61.4650326028;25.0185794847;66.3617325897;67.0047323208;-48.8700012187;1264.54791667;67.0047347802;-48.8700166854;1266.40520833;
2008.29935109;-57.4082022123;18.3957027246;60.2835264395;67.0047347802;-48.8700166854;1266.40520833;67.0047365885;-48.8700311312;1266.11458333;
2008.31028005;-89.4446879688;14.4431698533;90.6032966356;67.0047365885;-48.8700311312;1266.11458333;67.0047380083;-48.8700536385;1265.08958333;
2008.32120902;-58.4596570584;9.85484073502;59.2844784855;67.0047380083;-48.8700536385;1265.08958333;67.0047389771;-48.870068349;1266.44895833;
2008.33213798;-74.1819156068;-26.597473249;78.8059781129;67.0047389771;-48.870068349;1266.44895833;67.0047363625;-48.8700870156;1265.96979167;
2008.34306694;-82.0471945061;9.24023761491;82.5658774404;67.0047363625;-48.8700870156;1265.96979167;67.0047372708;-48.8701076615;1266.29583333;
2008.3539959;-51.4719868551;-7.61895745418;52.0328160251;67.0047372708;-48.8701076615;1266.29583333;67.0047365219;-48.8701206135;1265.453125;
2008.36492486;-77.8454834391;38.3597025768;86.783558775;67.0047365219;-48.8701206135;1265.453125;67.0047402927;-48.8701402021;1267.20833333;
2008.37585383;-65.2693192528;14.8246475723;66.9317130467;67.0047402927;-48.8701402021;1267.20833333;67.00474175;-48.870156626;1267.52708333;
2008.38678279;-93.7043331428;11.401944737;94.395478671;67.00474175;-48.870156626;1267.52708333;67.0047428708;-48.8701802052;1266.103125;
2008.39771175;-68.7176117215;13.4470891586;70.0209566312;67.0047428708;-48.8701802052;1266.103125;67.0047441927;-48.8701974969;1267.79270833;
2008.40864071;-65.6749910215;5.80693828923;65.9312139883;67.0047441927;-48.8701974969;1267.79270833;67.0047447635;-48.8702140229;1266.98802083;
2008.41956967;-63.679695162;-2.79750322402;63.7411138921;67.0047447635;-48.8702140229;1266.98802083;67.0047444885;-48.8702300469;1267.37291667;
2008.43049863;-83.7195714648;37.6921167148;91.8131924545;67.0047444885;-48.8702300469;1267.37291667;67.0047481938;-48.8702511135;1267.684375;
2008.4414276;-88.0744329599;1.15502964763;88.0820063049;67.0047481938;-48.8702511135;1267.684375;67.0047483073;-48.870273276;1268.54895833;
2008.45235656;-53.3761860372;5.0121932342;53.6109999618;67.0047483073;-48.870273276;1268.54895833;67.0047488;-48.8702867073;1268.25833333;
2008.46328552;-90.554059569;3.96312950704;90.6407419427;67.0047488;-48.8702867073;1268.25833333;67.0047491896;-48.8703094937;1267.95625;
2008.47421448;-81.8650082393;18.7877769348;83.9932148223;67.0047491896;-48.8703094937;1267.95625;67.0047510365;-48.8703300937;1268.02708333;
2008.48514344;-73.5029821606;3.64523131156;73.5933155784;67.0047510365;-48.8703300937;1268.02708333;67.0047513948;-48.8703485896;1267.84895833;
2008.4960724;-80.6396751249;8.16998105086;81.052487899;67.0047513948;-48.8703485896;1267.84895833;67.0047521979;-48.8703688812;1267.69375;
2008.50700137;-88.4055875694;1.3987513951;88.4166523849;67.0047521979;-48.8703688812;1267.69375;67.0047523354;-48.8703911271;1267.58958333;
2008.51793033;-107.870049975;25.294091283;110.795932847;67.0047523354;-48.8703911271;1267.58958333;67.0047548219;-48.8704182708;1267.99375;
2008.52885929;-90.0614231939;-0.328494686348;90.0620222761;67.0047548219;-48.8704182708;1267.99375;67.0047547896;-48.8704409333;1267.78020833;
2008.53978825;-91.6427556127;20.938887422;94.004423634;67.0047547896;-48.8704409333;1267.78020833;67.0047568479;-48.8704639938;1267.69583333;
2008.55071721;-108.416458821;-20.462040272;110.330519963;67.0047568479;-48.8704639938;1267.69583333;67.0047548365;-48.870491275;1267.03333333;
2008.56164617;-84.0217276454;35.2443013034;91.1142770969;67.0047548365;-48.870491275;1267.03333333;67.004758301;-48.8705124177;1267.73854167;
2008.57257514;-84.7875439697;-6.64407003055;85.0474648592;67.004758301;-48.8705124177;1267.73854167;67.0047576479;-48.8705337531;1268.0375;
2008.5835041;-106.984149294;17.7281167169;108.443046446;67.0047576479;-48.8705337531;1268.0375;67.0047593906;-48.870560674;1267.83958333;
2008.59443306;-112.137959022;15.5240233415;113.207407683;67.0047593906;-48.870560674;1267.83958333;67.0047609167;-48.8705888917;1267.73645833;
2008.60536202;-68.7010022238;10.9780806212;69.5725948968;67.0047609167;-48.8705888917;1267.73645833;67.0047619958;-48.8706061792;1267.13541667;
2008.61629098;-88.8443508002;-1.57889376373;88.8583793158;67.0047619958;-48.8706061792;1267.13541667;67.0047618406;-48.8706285354;1266.8625;
2008.62721995;-79.1783574468;18.4168958509;81.2920312254;67.0047618406;-48.8706285354;1266.8625;67.004763651;-48.8706484594;1267.57916667;
2008.63814891;-91.6551410588;0.709972405307;91.6578907859;67.004763651;-48.8706484594;1267.57916667;67.0047637208;-48.8706715229;1266.0;
2008.64907787;-64.4868697118;16.3293650323;66.5222107839;67.0047637208;-48.8706715229;1266.0;67.004765326;-48.87068775;1266.22604167;
2008.66000683;-66.4945770121;14.6127154413;68.0812766081;67.004765326;-48.87068775;1266.22604167;67.0047667625;-48.8707044823;1266.73289583;
2008.67093579;-40.1873445273;23.1959638289;46.4012434974;67.0047667625;-48.8707044823;1266.73289583;67.0047690427;-48.8707145948;1265.97033333;
